nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
0,3.2901763916015625e-05,1,4.8160552978515625e-05,1,3.1948089599609375e-05,1
1,3.790855407714844e-05,2,6.699562072753906e-05,1,0.0024378299713134766,1
2,5.888938903808594e-05,3,5.1975250244140625e-05,1,0.0005929470062255859,1
3,8.58306884765625e-05,4,7.009506225585938e-05,1,0.00017118453979492188,1
4,0.00012493133544921875,5,9.393692016601562e-05,1,0.001085042953491211,1
5,0.00014901161193847656,6,0.00013399124145507812,1,0.00017404556274414062,1
6,0.00018596649169921875,7,0.00017189979553222656,1,0.0001900196075439453,1
7,0.00022792816162109375,8,0.00021409988403320312,1,0.00020599365234375,1
8,0.0002818107604980469,9,0.00024890899658203125,1,0.00024700164794921875,1
9,0.0003218650817871094,10,0.00029206275939941406,1,0.0003590583801269531,1
10,0.0003719329833984375,11,0.00033402442932128906,1,0.0003440380096435547,1
11,0.0004711151123046875,12,0.0003809928894042969,1,0.0003490447998046875,1
12,0.0004868507385253906,13,0.0004291534423828125,1,0.00045609474182128906,1
13,0.0006427764892578125,14,0.00047898292541503906,1,0.0004820823669433594,1
14,0.0006380081176757812,15,0.0005829334259033203,1,0.0005550384521484375,1
15,0.0007100105285644531,16,0.0005171298980712891,1,0.0005660057067871094,1
16,0.0009160041809082031,17,0.0005481243133544922,1,0.0006160736083984375,1
17,0.000888824462890625,18,0.0005891323089599609,1,0.0010759830474853516,1
18,0.0010519027709960938,19,0.0006930828094482422,1,0.0009911060333251953,1
19,0.0010559558868408203,20,0.0006699562072753906,1,0.0010290145874023438,1
20,0.0010879039764404297,21,0.0007650852203369141,1,0.0008299350738525391,1
21,0.001168966293334961,22,0.0009710788726806641,1,0.0009119510650634766,1
22,0.0012600421905517578,23,0.0009129047393798828,1,0.0009160041809082031,1
23,0.0013539791107177734,24,0.0009319782257080078,1,0.0009839534759521484,1
24,0.0014870166778564453,25,0.0010077953338623047,1,0.0014159679412841797,1
25,0.0016620159149169922,26,0.0010647773742675781,1,0.0010478496551513672,1
26,0.001722097396850586,27,0.0012807846069335938,1,0.0010960102081298828,1
27,0.001990079879760742,28,0.0012309551239013672,1,0.00115203857421875,1
28,0.0019021034240722656,29,0.0012969970703125,1,0.0013120174407958984,1
29,0.0020339488983154297,30,0.0014410018920898438,1,0.0014510154724121094,1
30,0.0021910667419433594,31,0.00144195556640625,1,0.0015921592712402344,1
31,0.0022029876708984375,32,0.0015799999237060547,1,0.0014700889587402344,1
32,0.00238800048828125,33,0.0017058849334716797,1,0.0015649795532226562,1
33,0.002527952194213867,34,0.0017578601837158203,1,0.0017240047454833984,1
34,0.0026619434356689453,35,0.0019159317016601562,1,0.00203704833984375,1
35,0.0027379989624023438,36,0.002012968063354492,1,0.0018351078033447266,1
36,0.0028700828552246094,37,0.0021209716796875,1,0.0018770694732666016,1
37,0.002998828887939453,38,0.002154827117919922,1,0.002000093460083008,1
38,0.003247976303100586,39,0.0025300979614257812,1,0.002421855926513672,1
39,0.003368854522705078,40,0.002665996551513672,1,0.0023429393768310547,1
40,0.003446817398071289,41,0.0027441978454589844,1,0.0023419857025146484,1
41,0.0036399364471435547,42,0.002889871597290039,1,0.0026459693908691406,1
42,0.0039010047912597656,43,0.0028760433197021484,1,0.0025551319122314453,1
43,0.003926992416381836,44,0.0027959346771240234,1,0.0026090145111083984,1
44,0.0041201114654541016,45,0.0030851364135742188,1,0.003239154815673828,1
45,0.0043048858642578125,46,0.003103017807006836,1,0.003013134002685547,1
46,0.0044629573822021484,47,0.0035059452056884766,1,0.003325939178466797,1
47,0.0047490596771240234,48,0.0034151077270507812,1,0.0033559799194335938,1
48,0.004775047302246094,49,0.00327301025390625,1,0.0035791397094726562,1
49,0.005046844482421875,50,0.0033140182495117188,1,0.003545045852661133,1
50,0.005347013473510742,51,0.0034449100494384766,1,0.0034821033477783203,1
51,0.006540060043334961,52,0.0038480758666992188,1,0.0038309097290039062,1
52,0.006489992141723633,53,0.003741025924682617,1,0.003849029541015625,1
53,0.005800008773803711,54,0.003810882568359375,1,0.004083156585693359,1
54,0.00687098503112793,55,0.004107952117919922,1,0.00404810905456543,1
55,0.006201028823852539,56,0.004085063934326172,1,0.0043239593505859375,1
56,0.006761074066162109,57,0.00418400764465332,1,0.004214048385620117,1
57,0.0068318843841552734,58,0.00448298454284668,1,0.0048868656158447266,1
58,0.006782054901123047,59,0.005023956298828125,1,0.0048029422760009766,1
59,0.0070760250091552734,60,0.005403041839599609,1,0.00550389289855957,1
60,0.0073239803314208984,61,0.005636930465698242,1,0.0052890777587890625,1
61,0.007463932037353516,62,0.0058290958404541016,1,0.005777120590209961,1
62,0.008154153823852539,63,0.005944013595581055,1,0.006020069122314453,1
63,0.008064031600952148,64,0.0061800479888916016,1,0.005443096160888672,1
64,0.008362054824829102,65,0.006378173828125,1,0.0054781436920166016,1
65,0.008445024490356445,66,0.006548166275024414,1,0.005591869354248047,1
66,0.008684158325195312,67,0.006440162658691406,1,0.005670070648193359,1
67,0.009160041809082031,68,0.006240129470825195,1,0.0061168670654296875,1
68,0.009750843048095703,69,0.006011009216308594,1,0.0063860416412353516,1
69,0.01025700569152832,70,0.006632804870605469,1,0.006407976150512695,1
70,0.010894060134887695,71,0.0066318511962890625,1,0.006391763687133789,1
71,0.01039886474609375,72,0.006798982620239258,1,0.007485151290893555,1
