nb_nodes,nb_visits,time
0,0,3.0994415283203125e-06
100,4925,1.8991858959197998
200,19525,14.439483880996704
300,43992,50.05936098098755
400,78450,121.93633103370667
500,121823,273.70570492744446
600,175609,449.71970295906067
700,238811,774.7241909503937
800,312305,1214.4880089759827
900,394809,1974.8355371952057
1000,488085,2444.422175884247
1100,590512,3608.6779000759125
1200,702402,4557.455169916153
1300,823519,6009.253705024719
1400,956255,7491.6624710559845
1500,1096743,8948.89190196991
1600,1247856,10835.125338077545
1700,1411050,13767.075303077698
1800,1582033,16122.434280872345
1900,1760893,19391.13302898407
2000,1952921,23890.01632118225
2100,2151554,31065.807495117188
