nb_nodes;inf_times;inf_nb_visits;supr_times;supr_nb_visits;med_times;med_nb_visits;;
100;0.0051910877;51;0.0056729317;51;0.0073180199;51;;
101;0.0148289204;88;0.0009460449;15;0.0013599396;15;;
102;0.0040590763;43;0.0075418949;61;0.0051059723;43;;
103;0.0080821514;55;0.005562067;50;0.0069079399;50;;
104;0.005633831;50;0.0065431595;56;0.0072290897;50;;
105;0.0078270435;63;0.0042989254;44;0.0058410168;44;;
106;0.0002720356;2;0.0214319229;106;0.0004508495;2;;
107;0.0008981228;17;0.0155701637;92;0.001324892;17;;
108;0.0112419128;77;0.0027070045;33;0.0038709641;33;;
109;0.0006670952;12;0.0182390213;99;0.0011482239;12;;
110;0.0220751762;109;0.0003051758;3;0.0006639957;3;;
111;0.0039038658;43;0.0097360611;70;0.0054600239;43;;
112;0.0078258514;63;0.0057959557;51;0.0074439049;51;;
113;0.008890152;67;0.0053567886;48;0.0068030357;48;;
114;0.0014061928;23;0.0160391331;93;0.0020799637;23;;
115;0.0007991791;15;0.0201461315;102;0.0012049675;15;;
116;0.0092039108;68;0.0068471432;50;0.0076620579;50;;
117;0.0011970997;20;0.0216369629;99;0.0016889572;20;;
118;0.0114820004;70;0.0078511238;50;0.0075540543;50;;
119;0.0021240711;30;0.021132946;91;0.0027289391;30;;
120;0.0013608932;23;0.0237469673;99;0.0018289089;23;;
121;0.0235590935;112;0.0009078979;11;0.0011560917;11;;
122;0.0200550556;105;0.0020170212;19;0.0019381046;19;;
123;0.0018501282;27;0.0242679119;98;0.0025539398;27;;
124;0.0032670498;38;0.0196239948;88;0.0044288635;38;;
125;0.0012111664;20;0.0279510021;107;0.0018219948;20;;
126;0.0068318844;59;0.0133860111;69;0.0088260174;59;;
127;0.0053369999;51;0.0156350136;78;0.0069708824;51;;
128;0.0125961304;77;0.0092380047;53;0.0085082054;53;;
129;0.0008821487;15;0.0330381393;116;0.0012590885;15;;
130;0.0065851212;57;0.0164139271;75;0.0083019733;57;;
131;0.0054910183;49;0.0192770958;84;0.006469965;49;;
132;0.0168299675;95;0.0053701401;39;0.005366087;39;;
133;0.0098400116;63;0.0143449306;72;0.0099220276;63;;
134;0.0258200169;113;0.0026078224;23;0.0024180412;23;;
135;0.0104079247;73;0.0121510029;64;0.0111370087;64;;
136;0.0096030235;71;0.0135059357;67;0.0123100281;67;;
137;0.0032320023;38;0.0250680447;101;0.0042068958;38;;
138;0.0028429031;35;0.0278348923;105;0.0040588379;35;;
139;0.0079500675;64;0.0160260201;77;0.0105891228;64;;
140;0.0379009247;140;0.000497818;2;0.0005729198;2;;
141;0.0050690174;49;0.0228970051;94;0.0066361427;49;;
142;0.0260438919;118;0.0029928684;26;0.002874136;26;;
143;0.0160691738;93;0.0083270073;52;0.0081999302;52;;
