nb_nodes,inf_times,inf_nb_visits,supr_times,supr_nb_visits,med_times,med_nb_visits
0,5.0067901611328125e-05,1,4.1961669921875e-05,1,3.314018249511719e-05,1
1,5.793571472167969e-05,1,0.00010991096496582031,2,0.00012612342834472656,1
2,7.915496826171875e-05,1,0.00017714500427246094,3,0.00011920928955078125,1
3,0.00010204315185546875,1,0.00016999244689941406,4,9.918212890625e-05,1
4,0.00012803077697753906,1,0.00021386146545410156,5,0.00013494491577148438,1
5,0.0001590251922607422,1,0.0002598762512207031,6,0.000141143798828125,1
6,0.00019788742065429688,1,0.0003409385681152344,7,0.0001590251922607422,1
7,0.00023102760314941406,1,0.0004260540008544922,8,0.0001850128173828125,1
8,0.00026702880859375,1,0.0005121231079101562,9,0.00023508071899414062,1
9,0.0002779960632324219,1,0.0005359649658203125,10,0.00026702880859375,1
10,0.0003409385681152344,1,0.0006151199340820312,11,0.0003268718719482422,1
11,0.0004189014434814453,1,0.0007021427154541016,12,0.0003139972686767578,1
12,0.00039005279541015625,1,0.0009179115295410156,13,0.00032401084899902344,1
13,0.0028831958770751953,1,0.0010728836059570312,14,0.00039696693420410156,1
14,0.003712892532348633,1,0.0009729862213134766,15,0.0004711151123046875,1
15,0.0006639957427978516,1,0.001135110855102539,16,0.0004258155822753906,1
16,0.0006618499755859375,1,0.0012459754943847656,17,0.00046181678771972656,1
17,0.00080108642578125,1,0.0013668537139892578,18,0.0004978179931640625,1
18,0.0008111000061035156,1,0.001750946044921875,19,0.0005750656127929688,1
19,0.0008878707885742188,1,0.0016448497772216797,20,0.0006070137023925781,1
20,0.0008671283721923828,1,0.001825094223022461,21,0.0007269382476806641,1
21,0.0008680820465087891,1,0.0018551349639892578,22,0.0007100105285644531,1
22,0.0009069442749023438,1,0.002418994903564453,23,0.0007281303405761719,1
23,0.0010869503021240234,1,0.002110004425048828,24,0.0007829666137695312,1
24,0.001252889633178711,1,0.002148151397705078,25,0.0008299350738525391,1
25,0.0012230873107910156,1,0.0027780532836914062,26,0.0008878707885742188,1
26,0.00125885009765625,1,0.0025720596313476562,27,0.0009508132934570312,1
27,0.0013549327850341797,1,0.002710103988647461,28,0.0011010169982910156,1
28,0.001506805419921875,1,0.0031838417053222656,29,0.001313924789428711,1
29,0.001577138900756836,1,0.0029180049896240234,30,0.0012559890747070312,1
30,0.0016632080078125,1,0.003468036651611328,31,0.0013918876647949219,1
31,0.0015549659729003906,1,0.003345012664794922,32,0.001332998275756836,1
32,0.0018079280853271484,1,0.0037779808044433594,33,0.0014219284057617188,1
33,0.001898050308227539,1,0.003676891326904297,34,0.0014450550079345703,1
34,0.0021381378173828125,1,0.004209041595458984,35,0.00197601318359375,1
35,0.002321958541870117,1,0.0040471553802490234,36,0.0015988349914550781,1
36,0.0023021697998046875,1,0.004586935043334961,37,0.0016181468963623047,1
37,0.002189159393310547,1,0.004580020904541016,38,0.0017080307006835938,1
38,0.002254962921142578,1,0.005115032196044922,39,0.0019028186798095703,1
39,0.002421140670776367,1,0.005061149597167969,40,0.0018770694732666016,1
40,0.0026481151580810547,1,0.005193948745727539,41,0.0019419193267822266,1
41,0.0029458999633789062,1,0.0055370330810546875,42,0.002023935317993164,1
42,0.002835988998413086,1,0.005777120590209961,43,0.002148151397705078,1
43,0.0028960704803466797,1,0.006524085998535156,44,0.0021660327911376953,1
44,0.0030128955841064453,1,0.006048917770385742,45,0.0022919178009033203,1
45,0.0028438568115234375,1,0.007646799087524414,46,0.002521991729736328,1
46,0.0030241012573242188,1,0.0075261592864990234,47,0.002507925033569336,1
47,0.0030770301818847656,1,0.007551908493041992,48,0.0025691986083984375,1
48,0.0035278797149658203,1,0.007905960083007812,49,0.0027170181274414062,1
49,0.0034990310668945312,1,0.007615089416503906,50,0.0027158260345458984,1
50,0.003721952438354492,1,0.008400917053222656,51,0.0027899742126464844,1
51,0.0038940906524658203,1,0.008085012435913086,52,0.0033111572265625,1
52,0.004436969757080078,1,0.00837087631225586,53,0.003099203109741211,1
53,0.004580974578857422,1,0.008719921112060547,54,0.0036160945892333984,1
54,0.004436969757080078,1,0.00927114486694336,55,0.003476858139038086,1
