nb_nodes,0,1,2,3,4,5,6,7,8,9
inf_time,0.010717153549194336,0.012178182601928711,0.012420177459716797,0.015080928802490234,0.015514850616455078,0.01568603515625,0.01903986930847168,0.018644094467163086,0.022042036056518555,0.021641016006469727
inf_nb_visits,0,1,2,3,4,5,6,7,8,9
supr_times,0.006728172302246094,0.010874032974243164,0.013515949249267578,0.012331008911132812,0.014194011688232422,0.01595592498779297,0.01835489273071289,0.01914691925048828,0.021744966506958008,0.02451801300048828
supr_nb_visits,0,1,2,3,4,5,6,7,8,9
med_times,0.00686192512512207,0.009322881698608398,0.011461973190307617,0.013779878616333008,0.014441967010498047,0.015731096267700195,0.01691889762878418,0.018224000930786133,0.02195000648498535,0.02522110939025879
med_nb_visits,0,1,2,3,4,5,6,7,8,9
